county,state,state_encoded,total_non_english_speakers_18_64,foreign_born_population,spanish_speakers_total,spanish_eng_very_well,spanish_eng_well,spanish_eng_not_well,spanish_eng_not_at_all,indo_euro_speakers_total,indo_euro_eng_very_well,indo_euro_eng_well,indo_euro_eng_not_well,indo_euro_eng_not_at_all,asian_pac_speakers_total,asian_pac_eng_very_well,asian_pac_eng_well,asian_pac_eng_not_well,asian_pac_eng_not_at_all,other_lang_speakers_total,other_lang_eng_very_well,other_lang_eng_well,other_lang_eng_not_well,other_lang_eng_not_at_all,total_enrolled_in_school,enrolled_college_or_grad_school,median_household_income_usd
Schuyler County,Illinois,13,3845,111.0,102,101,1,0,0,46,0,0,33,13,8,3,0,3,2,0,0,0,0,0,1171,84,63737
Scott County,Illinois,13,2754,42.0,43,39,4,0,0,4,4,0,0,0,21,21,0,0,0,0,0,0,0,0,1039,124,70500
Shelby County,Illinois,13,11405,243.0,108,83,22,3,0,159,136,23,0,0,20,20,0,0,0,0,0,0,0,0,4395,678,65585
Stark County,Illinois,13,2876,127.0,79,39,14,20,6,42,21,21,0,0,10,5,5,0,0,20,20,0,0,0,1001,113,58125
Stephenson County,Illinois,13,23402,1055.0,715,566,55,35,59,188,134,44,10,0,158,109,24,25,0,4,4,0,0,0,9061,1533,57527
Tazewell County,Illinois,13,74104,2167.0,1254,934,172,99,49,521,450,10,38,23,567,275,262,23,7,126,104,0,22,0,29440,4633,74606
Union County,Illinois,13,9107,470.0,477,363,65,47,2,22,16,6,0,0,44,25,19,0,0,4,4,0,0,0,3387,456,54090
Vermilion County,Illinois,13,40012,1715.0,1500,662,690,100,48,192,146,30,16,0,299,120,80,99,0,88,68,0,20,0,16415,2223,52787
Wabash County,Illinois,13,6048,212.0,167,95,34,38,0,86,57,26,0,3,72,1,71,0,0,0,0,0,0,0,2531,508,54074
Warren County,Illinois,13,8659,1035.0,720,274,169,188,89,265,112,120,33,0,93,6,72,15,0,85,85,0,0,0,4307,1133,62700
Washington County,Illinois,13,7915,66.0,63,43,0,20,0,27,11,7,9,0,0,0,0,0,0,7,7,0,0,0,2812,300,75111
Wayne County,Illinois,13,8423,286.0,187,150,29,5,3,371,326,28,7,10,7,7,0,0,0,0,0,0,0,0,3212,561,53522
White County,Illinois,13,7530,164.0,44,26,18,0,0,38,38,0,0,0,3,3,0,0,0,16,16,0,0,0,2897,465,54605
Whiteside County,Illinois,13,28886,1568.0,2021,1354,247,286,134,447,380,45,22,0,153,52,85,16,0,218,166,45,7,0,11935,1489,62828
Will County,Illinois,13,334010,88475.0,59611,33405,13724,9867,2615,21535,15076,5163,1076,220,13020,9187,2673,963,197,4830,3667,898,245,20,180221,33521,103678
Williamson County,Illinois,13,37927,1485.0,873,562,105,174,32,382,353,29,0,0,432,288,65,79,0,112,110,2,0,0,14695,2432,60325
Winnebago County,Illinois,13,139480,24778.0,17620,11936,3150,2126,408,4147,3106,676,306,59,3087,2119,551,329,88,2521,1787,492,164,78,65589,10552,61738
Woodford County,Illinois,13,21759,616.0,146,118,9,19,0,171,156,10,5,0,73,45,28,0,0,2,2,0,0,0,9774,1768,80093
Adams County,Indiana,14,15941,320.0,426,348,4,70,4,2627,1296,1292,39,0,48,35,0,13,0,0,0,0,0,0,8929,819,61731
Allen County,Indiana,14,199994,28852.0,12964,8572,2482,1322,588,5244,4512,641,85,6,9367,3895,1986,2805,681,1864,920,698,229,17,97254,15646,66222
Bartholomew County,Indiana,14,41140,9065.0,3040,2026,582,392,40,2692,2269,372,51,0,2008,1272,508,118,110,298,259,39,0,0,19039,2562,76912
Benton County,Indiana,14,4750,153.0,259,164,41,39,15,15,11,4,0,0,18,8,7,3,0,0,0,0,0,0,2147,305,58620
Blackford County,Indiana,14,6751,90.0,54,42,12,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2536,338,51108
Boone County,Indiana,14,39913,3274.0,1231,918,76,230,7,777,429,313,28,7,957,643,229,85,0,75,12,63,0,0,17598,2064,103038
Brown County,Indiana,14,8676,288.0,135,125,0,10,0,26,26,0,0,0,87,23,4,60,0,0,0,0,0,0,2610,414,73933
Carroll County,Indiana,14,11432,369.0,345,239,46,60,0,5,0,5,0,0,8,0,8,0,0,10,10,0,0,0,3997,521,61464
Cass County,Indiana,14,18267,3502.0,3514,1703,999,747,65,393,285,78,0,30,226,32,90,104,0,5,5,0,0,0,8275,1178,55862
Clark County,Indiana,14,69772,4766.0,3596,1760,850,699,287,968,802,164,0,2,439,161,167,66,45,88,26,62,0,0,26478,4473,69005
Clay County,Indiana,14,15266,224.0,139,95,14,23,7,21,21,0,0,0,43,3,34,6,0,0,0,0,0,0,5823,836,68364
Clinton County,Indiana,14,16315,2637.0,2341,715,718,758,150,27,25,2,0,0,68,27,28,13,0,0,0,0,0,0,8188,1010,59515
Crawford County,Indiana,14,6058,80.0,60,36,16,8,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2035,217,46706
Daviess County,Indiana,14,14650,1228.0,706,270,117,121,198,2827,2353,319,107,48,129,124,5,0,0,0,0,0,0,0,7295,461,64113
Dearborn County,Indiana,14,29771,603.0,170,111,59,0,0,235,217,8,10,0,52,13,34,5,0,10,10,0,0,0,10544,1554,80352
Decatur County,Indiana,14,15031,392.0,306,230,76,0,0,158,158,0,0,0,55,55,0,0,0,12,12,0,0,0,6013,688,71566
DeKalb County,Indiana,14,24877,434.0,278,184,79,0,15,343,301,0,42,0,107,76,31,0,0,47,12,18,17,0,9836,1145,68110
Delaware County,Indiana,14,70014,2010.0,890,700,156,27,7,608,499,90,19,0,796,333,334,82,47,225,208,11,6,0,32617,15140,53377
Dubois County,Indiana,14,23225,2088.0,1697,537,553,282,325,211,108,90,13,0,58,58,0,0,0,24,0,15,9,0,9937,1286,68945
Elkhart County,Indiana,14,91743,17652.0,18011,10174,4846,2348,643,7826,6081,1498,227,20,824,535,244,45,0,486,300,186,0,0,47814,5503,63978
Fayette County,Indiana,14,13094,318.0,224,120,100,4,0,121,48,7,66,0,27,0,0,27,0,30,30,0,0,0,4533,664,52219
Floyd County,Indiana,14,46794,2243.0,1120,835,73,212,0,287,210,46,31,0,533,394,9,107,23,68,68,0,0,0,18739,2920,75686
Fountain County,Indiana,14,9368,212.0,101,60,41,0,0,113,59,39,15,0,54,3,11,26,14,0,0,0,0,0,3273,484,60559
